review,actual_label,predicted_label,recommendation_score
总的来说还是不错的，除了床小点，改换大的，其他还是不错的，新装修，服务也不错！,1,1,0.9798136335235241
地理位置好，环境不错，房间很大，但是早餐不如过去丰盛，整体感觉不错。特别强调，服务好！,1,1,0.9796864069858129
订的是厦门宾馆的5号楼，很安静，房间很干净、宽敞、舒适，服务也很不错。宾馆的地理位置很方便，到厦大、轮渡都只要起步费，而且宾馆本身是花园宾馆，也很漂亮。还有，送的双早也很不错。总之，非常喜欢的宾馆，下次去厦门一定还会住的。,1,1,0.9792826152036118
很不错，前台彬彬有礼，房间干净整洁，出门就是客运中心，走到美食林和休闲场所都很方便。注意，听当地人说报国寺的美食林东西整整是峨嵋市里美食林的两倍，我们逛了逛，服务也怪怪的，就到对面峨眉山大酒店的仙林小厨和避风港分别解决了肚子问题，毕竟那里看起来正规些。整个峨嵋景区的管理还是很好的，明码标价，服务也不错，值得推荐。,1,1,0.9781521714509444
*房间很不错，服务很好，就是位置偏点，在机场到市区的路边，打车到江北商业圈起步价。*早餐不错。,1,1,0.9763040105989444
环境很好，地点很方便，服务也很好，下回还会住的！,1,1,0.9760088295142116
交通便利，房间很整洁，价格也合理，服务很不错，工作人员态度也很好，比较满意，唯一不足的就是离4星似乎还差一点！,1,1,0.9749996390620946
酒店环境不错，挺安静的。服务也不错。推荐建德镇上的胖子新排挡，哪里的酸菜鱼不错,1,1,0.974890911933266
总体来说，还不错。房间比较干净，服务也不错,1,1,0.9748088515758486
可以看到乌山和于山，风景不错，环境不错，服务也还可以。,1,1,0.9744587989206177
在西宁应该说是不错的酒店，4星级。我住的商务房很宽敞，也比较干净。服务质量还不错。早餐一般。地理位置也可以。就是价钱（501元）在西宁显得高了点。整体看来基本满意。,1,1,0.9741505181666794
"房间OK，很大,服务也不错，,环境优美,交通很方便.",1,1,0.9737229200561563
还可以大堂也不错房间也不错价格也还合理免费的早餐也很不错。。比较满意下次还住的可能很大。。。,1,1,0.9734248869151336
交通很便利，离商业街（太原街）很近，虽然太原街破了点，但还不错，离车站也很近。房间比较安静。面积不是太大。但床挺舒服。服务也还好，但赶紧价位有点高啊。总体感觉值得入住。,1,1,0.9732219318907454
我住的是488的商务套间，房间很大，环境不错，服务也很热情，感觉值四星。早餐现在加了牛肉汤，味道不错。淮南现在有了按5星标准建的新锦江大酒店，下次去试试。,1,1,0.972772370114937
上次出差住了，主动免费升级了家庭套房，很不错，就是电脑太慢，系统也很老，不好使，有室外游泳池，不错的，出脚也方便，走几分钟路程就到狮子桥美食街，地铁站也很方便！就是房价太贵，三楼的餐厅也不错，价格也蛮贵的。,1,1,0.9723951121474308
"物超所值,房间比较新,干净.温泉很不错,早餐也很好.",1,1,0.9715095364344146
房间蛮干净，地理位置很好，早餐还不错。就是价格贵了,1,1,0.97137846847342
我和朋友来厦门游玩，听说这家酒店在市政府中心，交通很便利，于是我们选择入住这家酒店。从机场坐的士直达店门口，只需要20分钟左右，刚下车，值班经理见我们带了行李，马上上前来帮忙并贴心慰问，后来得知我们的来意，交代了前台的接待员把我们安排在同一楼层住，我们都感觉很满意。整体来说，酒店的服务很热情，房间干净、整齐，入住时还赠送了欢迎果篮，房间内还有免费宽带上网，游泳池和康乐设施也不错。这里的自助早餐也很丰富，总而言知，物有所值。一出门口，就是车站，周围有厦门各种出名的小吃店，西餐厅也不少，还有比较有特色的商业街，连银行中心也在附近不远处，购物非常方便。来厦门游玩，这家酒店是不错的选择！,1,1,0.9708202249258179
"地理位置很好,房间不错,早餐丰富,总体很满意.下次还会去住.",1,1,0.9704867687313393
此酒点很不错，环境很好性价比高，下次还住,1,1,0.9701322609371891
"不错的酒店,服务还可以,下次还会入住的~",1,1,0.9699090098239296
服务很不错，服务员也很有礼貌。房间宽大，设施非常全，房间拖鞋不错，比其它酒店的好多了。酒店位置也很好，购物，娱乐，都很方便。总体很好。,1,1,0.9697603242365332
因为是新客房，房间设施方面就还不错，客房服务也非常好，不过酒店服务就差一点，西餐厅的餐点也不太好，早餐还行，地理位置还不错，属于市中心的位置，只是停车不方便，下次还会考虑入住。,1,1,0.9697060308838135
"房间装修很好,尤其是床垫,住起来很舒服.卫生也很好,很干净.服务还可以,结帐速度挺快的.酒店的位置也可以,交通还很方便.餐厅海鲜的品种有点少,朋友聚会也挺好的.最主要的是价格实惠!!呵呵!!!反正总体感觉还可以,在秦皇岛的三星级酒店来说,性价比还是很高的.推荐!!!",1,1,0.969637926333458
套房很不错。风景也很好。唯一美中不足的是酒店的位置比较难找，交通也不大方便。,1,1,0.9666471941032304
酒店房间不错，就是价格偏高，餐饮很方便。就是距离市中心太远,1,1,0.9663530318685822
地点很方便，房间很舒服，服务也很好，就是价格不便宜啊！,1,1,0.9656977837090257
为客人订的。他比较满意。看来是不错的。出入非常方便。,1,1,0.9655622765649289
"条件不错,价格也可以.早餐一般,服务还好.性价比还不错的一家酒店,下次还会再去住的.",1,1,0.9652968835932826
"酒店的地理位置不错,价格有竞争力,服务也不错,是值得推荐的酒店.",1,1,0.964607932017174
"酒店比较老,但是设备维护的还是不错.服务不错,比较细心周围,晚上回来开了夜床,感觉很好.楼下商场据说算济南最好的，感觉不错~~`下次还住这里",1,1,0.964540278644691
房间不错，环境好，早餐不错，就是比较吵！,1,1,0.9637255112819243
